iter	RMSE
134	28551.20595
135	28482.77879
136	28382.96989
137	28261.69659
138	28181.22446
139	28047.85624
140	27942.1436
141	27878.43516
142	27823.98662
143	27723.01943
144	27676.99367
145	27545.09685
146	27456.07348
147	27333.38116
148	27227.19224
149	27166.5614
150	27078.17778
151	26975.02278
152	26888.30863
153	26787.03534
154	26643.61425
155	26614.15732
156	26524.13107
157	26450.5456
158	26410.95214
159	26334.69527
160	26231.18335
161	26134.90503
162	26086.27166
163	26027.47646
164	25996.27497
165	25955.49653
166	25925.64114
167	25851.46889
168	25803.82768
169	25753.64039
170	25714.6559
171	25619.3008
172	25545.82417
173	25475.3686
174	25431.65805
175	25379.6071
176	25353.96562
177	25310.33697
178	25266.281
179	25213.69696
180	25135.42973
181	25075.93284
182	25050.41583
183	24990.62907
184	24943.32688
185	24904.2085
186	24853.48744
187	24807.09177
188	24789.32139
189	24702.75375
190	24634.0285
191	24581.2969
192	24523.86089
193	24490.00835
194	24420.27239
195	24370.84387
196	24296.1339
197	24268.94139
198	24241.00183
199	24232.62285
200	24171.05117
201	24122.34914
202	24085.54143
203	24043.00306
204	24012.73632
205	23997.24415
206	23978.39983
207	23959.33624
208	23920.35643
209	23878.96023
210	23805.30185
211	23774.93064
212	23741.00742
213	23698.809
214	23669.40922
215	23643.78565
216	23596.31866
217	23582.12544
218	23512.05441
219	23441.22645
220	23427.7052
221	23359.18446
222	23318.77077
223	23289.31899
224	23250.83027
225	23213.6544
226	23199.1234
227	23181.7377
228	23112.03088
229	23084.99613
230	23043.41094
231	23017.93719
232	22959.03074
233	22934.34982
234	22877.63198
235	22846.43252
236	22813.54891
237	22794.15717
238	22784.49471
239	22732.94104
240	22698.27152
241	22672.65735
242	22657.96644
243	22632.03442
244	22605.9509
245	22596.87435
246	22586.88109
247	22568.82662
248	22542.2306
249	22506.17661
250	22495.78928
251	22485.26526
252	22475.29078
253	22415.79371
254	22406.64807
255	22372.00556
256	22351.83785
257	22331.56659
258	22309.4834
259	22305.25594
260	22286.25265
261	22274.43552
262	22231.90853
263	22185.35242
264	22179.72547
265	22160.93935
266	22127.05802
267	22122.93107
268	22104.82693
269	22068.35331
270	22035.54428
271	22021.88933
272	22002.17046
273	21984.21379
274	21920.73713
275	21893.73125
276	21874.84573
277	21850.9655
278	21787.63275
279	21766.75133
280	21752.61796
281	21702.21317
282	21699.77939
283	21692.69123
284	21669.40228
285	21628.95826
286	21616.86061
287	21614.36762
288	21589.28944
289	21571.74699
290	21553.58483
291	21494.11268
292	21492.49185
293	21469.87775
294	21445.92352
295	21427.31446
296	21419.12207
297	21405.75371
298	21374.87973
299	21363.5655
300	21350.23636
301	21337.70031
302	21324.21477
303	21306.42251
304	21289.28499
305	21286.90746
306	21258.11873
307	21236.22322
308	21229.83022
309	21203.74178
310	21196.52721
311	21167.79373
312	21158.86723
313	21150.24734
314	21123.55948
315	21118.3153
316	21085.06678
317	21076.67705
318	21068.51341
319	21064.15192
320	21049.58784
321	21037.75797
322	21028.06584
323	20997.72434
324	20980.87235
325	20978.36
326	20970.51031
327	20967.01066
328	20924.57331
329	20921.55715
330	20907.55902
331	20886.72673
332	20879.09438
333	20871.71936
334	20869.07612
335	20855.41617
336	20825.39936
337	20808.68873
338	20804.07363
339	20797.32396
340	20794.54386
341	20787.71776
342	20770.62606
343	20769.23915
344	20747.50874
345	20734.64248
346	20732.88193
347	20714.56379
348	20707.48486
349	20692.94641
350	20674.51599
351	20672.5431
352	20658.07788
353	20652.31324
354	20645.40701
355	20630.3823
356	20618.57193
357	20610.5814
358	20591.91761
359	20589.35166
360	20581.63716
361	20567.81878
362	20562.28252
363	20546.67502
364	20534.3672
365	20521.92317
366	20493.26464
367	20470.73093
368	20464.13418
369	20462.78546
370	20457.14137
371	20447.13412
372	20440.99506
373	20437.23074
374	20425.05226
375	20405.56155
376	20401.8058
377	20399.2206
378	20393.13437
379	20388.05606
380	20377.92538
381	20373.18573
382	20364.61971
383	20347.85474
384	20317.92125
385	20300.51014
386	20295.85486
387	20294.57456
388	20284.54029
389	20279.81246
390	20276.87804
391	20274.1878
392	20242.65183
393	20222.38929
394	20219.5775
395	20217.61969
396	20216.85526
397	20209.58513
398	20148.99757
399	20141.7651
400	20127.6274
401	20078.50356
402	20074.6859
403	20073.64198
404	20069.25446
405	20056.37054
406	20053.46376
407	20052.08899
408	20048.87206
409	20008.3607
410	20003.97171
411	20001.75376
412	19990.54144
413	19989.86612
414	19974.27818
415	19960.10936
416	19952.46868
417	19935.9508
418	19912.34236
419	19908.58225
420	19899.25212
421	19880.38406
422	19877.52476
423	19869.69916
424	19867.55846
425	19853.26401
426	19849.60606
427	19846.5003
428	19816.67746
429	19806.22517
430	19802.47193
431	19790.68186
432	19789.01182
433	19786.27182
434	19763.91667
435	19760.45357
436	19750.70938
437	19693.0098
438	19683.72009
439	19675.48146
440	19673.3523
441	19670.54033
442	19669.11065
443	19665.92126
444	19649.92154
445	19646.89694
446	19641.12066
447	19631.25646
448	19615.081
449	19612.35834
450	19607.37626
451	19599.46089
452	19595.88413
453	19590.37579
454	19587.8889
455	19575.70574
456	19571.78645
457	19562.1588
458	19556.07809
459	19535.72518
460	19528.53268
461	19519.17114
462	19514.18335
463	19512.97991
464	19507.30879
465	19504.04429
466	19500.348
467	19496.31717
468	19492.9126
469	19490.42766
470	19477.43172
471	19474.98945
472	19468.33086
473	19462.74239
474	19450.06371
475	19449.27483
476	19446.4359
477	19442.19491
478	19439.07965
479	19429.31814
480	19428.50345
481	19425.092
482	19412.10088
483	19408.13628
484	19405.52386
485	19403.57547
486	19400.6159
487	19398.4484
488	19387.84202
489	19386.20555
490	19384.5677
491	19383.90235
492	19377.14642
493	19370.16368
494	19367.22691
495	19361.7399
496	19354.64834
497	19352.06355
498	19341.88866
499	19338.66534
500	19335.34135
501	19334.74413
502	19332.46369
503	19329.83869
504	19328.49582
505	19322.75767
506	19315.38309
507	19312.85042
508	19312.03584
509	19308.63634
510	19303.93812
511	19300.64469
512	19298.44744
513	19292.13697
514	19289.20674
515	19278.03052
516	19273.36933
517	19267.5776
518	19267.04918
519	19257.05256
520	19256.51054
521	19245.76806
522	19218.33173
523	19216.45948
524	19210.94087
525	19208.43636
526	19207.36503
527	19194.57211
528	19187.4183
529	19185.572
530	19176.48329
531	19175.31096
532	19157.2419
533	19155.86593
534	19154.16814
535	19151.85971
536	19149.3421
537	19147.44585
538	19145.85141
539	19139.43778
540	19132.53699
541	19131.94873
542	19129.65149
543	19124.96831
544	19114.04866
545	19113.4094
546	19113.24042
547	19110.58211
548	19109.92814
549	19100.48381
550	19099.43738
551	19093.64355
552	19091.44656
553	19088.72274
554	19087.9157
555	19086.65217
556	19082.80488
557	19077.06595
558	19075.0109
559	19070.72086
560	19069.89178
561	19066.82989
562	19065.6913
563	19062.94549
564	19060.73867
565	19060.19888
566	19058.83131
567	19053.09435
568	19050.41942
569	19048.2999
570	19044.70927
571	19044.01256
572	19042.87434
573	19037.99718
574	19035.79392
575	19035.19488
576	19031.38795
577	19031.12914
578	19029.85197
579	19027.26796
580	19026.05534
581	19021.29995
582	19016.59936
583	19013.73414
584	19013.26198
585	19012.78536
586	19011.84832
587	19008.3385
588	19007.50793
589	19003.08995
590	18981.86779
591	18981.56379
592	18981.4532
593	18980.87156
594	18980.41943
595	18978.78023
596	18976.12928
597	18939.90939
598	18936.20435
599	18934.55022
600	18933.91967
601	18931.85387
602	18909.66126
603	18908.42551
604	18906.42158
605	18905.20795
606	18904.90991
607	18903.09736
608	18902.75658
609	18901.18642
610	18893.79047
611	18855.75416
612	18814.72013
613	18814.28428
614	18811.94205
615	18810.56946
616	18809.85856
617	18807.43461
618	18806.13928
619	18799.21621
620	18797.41963
621	18791.71389
622	18788.94064
623	18778.03713
624	18777.68363
625	18773.41819
626	18770.43459
627	18769.94409
628	18769.73143
629	18769.62386
630	18769.26857
631	18768.51827
632	18768.23207
633	18767.19525
634	18726.78354
635	18725.98807
636	18725.04162
637	18723.5682
638	18723.0123
639	18722.86294
640	18721.18667
641	18694.0572
642	18693.55188
643	18690.25565
644	18689.52539
645	18687.13908
646	18686.37411
647	18684.08899
648	18683.04707
649	18653.09807
650	18637.00165
651	18634.93582
652	18630.35063
653	18628.85434
654	18628.29455
655	18621.21773
656	18620.16083
657	18619.05661
658	18617.89279
659	18616.96211
660	18615.79926
661	18598.87973
662	18597.59199
663	18582.99923
664	18582.42921
665	18582.00794
666	18579.36743
667	18576.21344
668	18575.10461
669	18561.39155
670	18561.14759
671	18560.24256
672	18558.85535
673	18557.83054
674	18555.19319
675	18552.91398
676	18547.26782
677	18544.71564
678	18536.82882
679	18536.46943
680	18534.76384
681	18533.0938
682	18518.84981
683	18516.98671
684	18516.93514
685	18508.57835
686	18507.71934
687	18505.89753
688	18502.73312
689	18501.35386
690	18500.0103
691	18497.71274
692	18495.7676
693	18494.89771
694	18494.18109
695	18491.78749
696	18487.76302
697	18464.00875
698	18463.7434
699	18461.06158
700	18458.95758
701	18419.45685
702	18416.97123
703	18415.87863
704	18413.67772
705	18410.96108
706	18410.87788
707	18410.7299
708	18409.66323
709	18408.58349
710	18405.96553
711	18405.03876
712	18403.64922
713	18403.48913
714	18400.61834
715	18392.38632
716	18375.1041
717	18374.43709
718	18374.17814
719	18353.35139
720	18339.46628
721	18338.68793
722	18313.71382
723	18313.58089
724	18312.99
725	18311.76978
726	18310.10871
727	18309.96492
728	18304.68408
729	18304.28696
730	18303.77758
731	18299.94731
732	18296.819
733	18289.00544
734	18288.88834
735	18287.26317
736	18286.70237
737	18273.84321
738	18271.37344
739	18271.18523
740	18270.57432
741	18270.11621
742	18270.08319
743	18268.02983
744	18264.05074
745	18263.57318
746	18263.02174
747	18240.89415
748	18240.02416
749	18238.68518
750	18238.30226
751	18205.23695
752	18203.25601
753	18203.03081
754	18203.01462
755	18198.47456
756	18198.22751
757	18198.19515
758	18180.43823
759	18176.7201
760	18176.64892
761	18172.39767
762	18169.85018
763	18169.52766
764	18168.61334
765	18168.38436
766	18150.4793
767	18150.09325
768	18140.18359
769	18139.4087
770	18138.41385
771	18133.80877
772	18133.3276
773	18132.8492
774	18132.7207
775	18130.55001
776	18129.14787
777	18127.05237
778	18126.86695
779	18126.56898
780	18126.32834
781	18087.11595
782	18080.4448
783	18075.91401
784	18075.09384
785	18073.2322
786	18069.59169
787	18067.77123
788	18067.10448
789	18065.14435
790	18063.81817
791	18063.38245
792	18063.22678
793	18058.44071
794	18057.72564
795	18057.30794
796	18054.00058
797	18053.83633
798	18053.7204
799	18053.14138
800	18051.1851
801	18046.65234
802	18035.23903
803	18034.1404
804	18033.38072
805	18030.43483
806	18029.60204
807	18029.12257
808	18017.90989
809	18017.83611
810	17994.62994
811	17992.30435
812	17965.29409
813	17965.14582
814	17963.74317
815	17961.53122
816	17959.21368
817	17959.1307
818	17956.86387
819	17956.16026
820	17955.78939
821	17954.87486
822	17954.42002
823	17953.18528
824	17952.8222
825	17951.48493
826	17951.02482
827	17919.04381
828	17916.52283
829	17914.54939
830	17913.83506
831	17911.44467
832	17911.23278
833	17910.36821
834	17910.05052
835	17901.60955
836	17900.09843
837	17899.77462
838	17899.016
839	17898.78023
840	17898.3042
841	17896.30996
842	17896.26997
843	17883.42234
844	17883.03129
845	17882.00918
846	17880.40335
847	17878.02888
848	17868.93634
849	17868.1343
850	17867.94679
851	17867.74524
852	17867.63517
853	17867.56107
854	17867.18564
855	17865.29399
856	17864.29914
857	17864.2105
858	17834.26251
859	17832.0396
860	17830.84571
861	17827.2331
862	17826.12996
863	17825.10446
864	17793.99662
865	17793.19599
866	17793.00949
867	17792.39027
868	17792.2494
869	17791.68996
870	17791.29298
871	17791.20746
872	17791.18469
873	17791.08438
874	17791.03886
875	17780.60956
876	17778.96151
877	17778.86491
878	17778.47564
879	17778.27828
880	17775.4499
881	17771.74297
882	17771.47978
883	17770.3175
884	17769.7727
885	17769.31636
886	17769.10037
887	17768.89486
888	17768.45958
889	17751.19175
890	17751.06925
891	17748.94564
892	17748.80646
893	17748.67127
894	17748.64703
895	17747.41604
896	17747.32576
897	17746.84707
898	17746.13949
899	17715.27157
900	17710.79463
901	17710.72508
902	17710.40701
903	17708.26664
904	17707.23169
905	17706.95024
906	17706.63755
907	17705.81224
908	17705.55758
909	17704.59343
910	17703.44311
911	17702.77987
912	17702.64521
913	17702.49674
914	17701.36718
915	17701.18334
916	17700.87878
917	17684.52098
918	17683.06105
919	17678.84755
920	17675.00595
921	17674.34557
922	17674.26176
923	17671.80783
924	17670.82397
925	17670.74157
926	17668.44222
927	17668.37678
928	17667.32313
929	17667.23385
930	17667.2081
931	17666.96554
932	17663.75105
933	17662.2648
934	17661.72566
935	17661.57412
936	17661.15526
937	17661.08317
938	17660.22189
939	17659.92345
940	17658.36928
941	17631.65324
942	17631.46494
943	17631.09089
944	17628.17324
945	17627.85029
946	17627.47435
947	17627.05623
948	17626.98808
949	17625.1462
950	17625.09047
951	17602.42629
952	17601.44801
953	17599.86029
954	17599.77959
955	17599.0435
956	17598.8993
957	17597.90233
958	17591.7441
959	17591.67313
960	17583.00499
961	17582.3633
962	17578.64074
963	17578.60821
964	17577.97484
965	17576.85416
966	17576.78159
967	17568.16883
968	17555.83177
969	17553.71902
970	17547.69355
971	17547.64041
972	17544.9149
973	17544.74285
974	17544.16071
975	17542.12489
976	17541.98233
977	17539.42967
978	17536.08406
979	17533.06026
980	17532.55601
981	17532.5152
982	17526.95414
983	17525.61636
984	17523.13383
985	17522.80175
986	17522.53985
987	17521.81569
988	17521.55179
989	17521.22537
990	17518.68011
991	17518.5005
992	17515.71235
993	17497.97477
994	17497.68943
995	17496.74593
996	17496.49809
997	17492.35529
998	17491.62911
999	17490.16001
